iter	Passed	Remaining
0	8	4675
1	14	3874
2	21	3825
3	27	3684
4	33	3593
5	38	3424
6	44	3374
7	48	3245
8	53	3148
9	58	3123
10	63	3052
11	67	2991
12	70	2871
13	76	2869
14	80	2826
15	84	2766
16	88	2739
17	94	2748
18	100	2752
19	104	2732
20	110	2743
21	115	2735
22	121	2727
23	125	2707
24	130	2690
25	135	2677
26	140	2668
27	144	2650
28	150	2650
29	153	2614
30	158	2606
31	163	2596
32	168	2592
33	173	2587
34	178	2585
35	182	2565
36	188	2568
37	193	2565
38	199	2563
39	203	2554
40	209	2560
41	215	2562
42	220	2552
43	225	2551
44	230	2538
45	235	2529
46	240	2529
47	246	2532
48	250	2519
49	256	2520
50	260	2504
51	265	2495
52	269	2485
53	274	2476
54	280	2481
55	284	2464
56	289	2455
57	294	2448
58	299	2442
59	304	2437
60	310	2439
61	314	2430
62	319	2424
63	325	2423
64	330	2422
65	335	2414
66	340	2407
67	346	2407
68	350	2398
69	355	2390
70	359	2382
71	364	2375
72	370	2375
73	376	2374
74	380	2365
75	385	2358
76	390	2350
77	397	2358
78	403	2359
79	408	2352
80	412	2345
81	417	2336
82	423	2334
83	428	2330
84	431	2315
85	435	2303
86	440	2298
87	446	2297
88	452	2299
89	456	2287
90	458	2267
91	463	2262
92	468	2259
93	473	2251
94	479	2249
95	482	2234
96	486	2227
97	491	2221
98	495	2213
99	497	2194
100	502	2188
101	507	2184
102	512	2178
103	516	2172
104	522	2170
105	527	2164
106	532	2158
107	537	2155
108	541	2146
109	546	2142
110	551	2137
111	556	2132
112	562	2128
113	565	2119
114	571	2117
115	577	2115
116	581	2108
117	586	2104
118	591	2097
119	596	2091
120	598	2076
121	602	2069
122	612	2082
123	615	2068
124	620	2066
125	626	2064
126	632	2062
127	637	2057
128	641	2049
129	647	2046
130	652	2040
131	656	2033
132	660	2027
133	665	2020
134	670	2017
135	675	2012
136	681	2010
137	687	2007
138	692	2002
139	696	1996
140	701	1991
141	705	1982
142	710	1977
143	714	1969
144	717	1958
145	721	1952
146	724	1941
147	728	1934
148	734	1933
149	740	1930
150	744	1923
151	749	1918
152	754	1914
153	761	1913
154	767	1910
155	770	1902
156	775	1896
157	779	1890
158	785	1887
159	790	1881
160	794	1876
161	799	1870
162	805	1868
163	810	1863
164	814	1856
165	820	1852
166	824	1847
167	829	1841
168	833	1835
169	838	1829
170	843	1824
171	848	1819
172	853	1815
173	859	1812
174	865	1809
175	870	1805
176	875	1800
177	879	1794
178	885	1790
179	889	1784
180	894	1779
181	899	1773
182	904	1770
183	908	1763
184	913	1757
185	918	1752
186	923	1747
187	927	1742
188	933	1737
189	938	1733
190	942	1727
191	948	1723
192	954	1720
193	959	1715
194	964	1710
195	971	1710
196	976	1704
197	981	1701
198	986	1695
199	990	1689
200	995	1684
201	1001	1680
202	1005	1673
203	1010	1669
204	1015	1663
205	1018	1657
206	1022	1650
207	1028	1646
208	1034	1642
209	1038	1636
210	1043	1631
211	1048	1627
212	1053	1621
213	1058	1617
214	1064	1613
215	1065	1603
216	1067	1594
217	1072	1589
218	1075	1580
219	1081	1577
220	1085	1571
221	1089	1565
222	1094	1560
223	1098	1555
224	1103	1550
225	1109	1546
226	1115	1542
227	1120	1538
228	1126	1535
229	1131	1529
230	1135	1524
231	1140	1518
232	1145	1514
233	1150	1509
234	1155	1504
235	1159	1499
236	1165	1494
237	1170	1490
238	1175	1485
239	1179	1479
240	1185	1475
241	1189	1469
242	1193	1463
243	1197	1457
244	1203	1454
245	1207	1448
246	1212	1443
247	1216	1437
248	1220	1431
249	1222	1422
250	1227	1417
251	1231	1411
252	1234	1405
253	1240	1401
254	1244	1395
255	1247	1389
256	1251	1382
257	1256	1377
258	1259	1371
259	1262	1364
260	1265	1358
261	1272	1354
262	1277	1350
263	1281	1344
264	1285	1338
265	1291	1334
266	1296	1330
267	1299	1324
268	1305	1320
269	1311	1315
270	1315	1310
271	1321	1306
272	1327	1303
273	1332	1298
274	1337	1294
275	1342	1288
276	1347	1284
277	1352	1279
278	1357	1274
279	1363	1270
280	1367	1265
281	1372	1260
282	1377	1255
283	1381	1250
284	1387	1246
285	1393	1242
286	1397	1236
287	1401	1231
288	1406	1226
289	1412	1222
290	1417	1217
291	1422	1212
292	1428	1208
293	1433	1204
294	1439	1200
295	1444	1195
296	1450	1191
297	1454	1186
298	1459	1181
299	1464	1176
300	1469	1171
301	1473	1166
302	1479	1162
303	1484	1157
304	1488	1151
305	1494	1147
306	1499	1143
307	1505	1138
308	1510	1134
309	1515	1129
310	1521	1125
311	1527	1120
