Claim Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault,Vechile_registration_present,Incident_details_present,Injury_details_present,TP_type_insd_pass_back,TP_type_insd_pass_front,TP_type_driver,TP_type_pass_back,TP_type_pass_front,TP_type_bike,TP_type_cyclist,TP_type_pass_multi,TP_type_pedestrian,TP_type_other,TP_type_nk,TP_injury_whiplash,TP_injury_traumatic,TP_injury_fatality,TP_injury_unclear,TP_injury_nk,TP_region_eastang,TP_region_eastmid,TP_region_london,TP_region_north,TP_region_northw,TP_region_outerldn,TP_region_scotland,TP_region_southe,TP_region_southw,TP_region_wales,TP_region_westmid,TP_region_yorkshire,Incurred,Capped Incurred
1,2003-04-15,PH,LD003,Head on collision,22,13,Main Road,NORMAL,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2003-04-20,CNF,LD003,Head on collision,1,9,Main Road,WET,Y,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2801,2801
3,2003-04-24,CNF,LD003,Head on collision,5,17,Main Road,WET,Y,16,Y,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1221,1221
4,2003-05-13,CNF,LD003,Head on collision,1,23,Main Road,N/K,Y,14,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3530,3530
5,2003-06-11,CNF,LD003,Head on collision,1,48,Other,N/K,N,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3156,3156
6,2003-06-24,PH,LD003,Head on collision,16,23,Other,N/K,N,0,Other,n/k,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10502,10502
7,2003-07-16,Other,LD003,Head on collision,5,4,Main Road,NORMAL,N,18,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,91,91
8,2003-07-17,Other,LD003,Head on collision,0,40,Main Road,WET,Y,7,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,9130,9130
9,2003-07-20,PH,LD003,Head on collision,4,26,Minor Road,WET,Y,22,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,81
10,2003-07-29,CNF,LD003,Head on collision,2,85,Main Road,N/K,N,22,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,447,447
11,2003-07-30,Other,LD003,Head on collision,0,109,Minor Road,WET,Y,7,Other,n/k,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27064,27064
12,2003-08-12,Other,LD003,Head on collision,1,22,Main Road,NORMAL,N,23,Other,n/k,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,206,206
13,2003-08-13,Other,LD003,Head on collision,0,46,Main Road,NORMAL,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3522,3522
14,2003-08-19,CNF,LD003,Head on collision,2,7,Other,NORMAL,Y,16,Y,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722,4722
15,2003-08-27,PH,LD003,Head on collision,0,57,Minor Road,NORMAL,N,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6574,6574
16,2003-08-28,Other,LD003,Head on collision,6,104,Minor Road,WET,Y,10,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1133,1133
17,2003-08-29,TP,LD003,Head on collision,61,55,Not Applicable,N/A,n/k,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,424,424
18,2003-08-30,PH,LD003,Head on collision,2,27,Main Road,NORMAL,N,13,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,880,880
19,2003-09-08,PH,LD003,Head on collision,0,128,Minor Road,WET,N,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,12352,12352
20,2003-09-10,CNF,LD003,Head on collision,0,18,Other,NORMAL,N,11,Y,n/k,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23093,23093
21,2003-09-10,Other,LD003,Head on collision,0,75,Minor Road,WET,N,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5997,5997
22,2003-09-12,PH,LD003,Head on collision,6,4,Main Road,NORMAL,N,19,Other,n/k,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,43405,43405
23,2003-09-12,PH,LD003,Head on collision,20,11,Minor Road,WET,Y,12,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2003-09-14,CNF,LD003,Head on collision,3,79,Minor Road,N/K,Y,11,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,993,993
25,2003-09-15,Other,LD003,Head on collision,0,167,Minor Road,NORMAL,Y,17,Other,n/k,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,829,829
26,2003-09-17,Other,LD003,Head on collision,0,37,Main Road,NORMAL,N,7,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,192,192
27,2003-09-22,Other,LD003,Head on collision,10,21,Main Road,WET,Y,11,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2250,2250
28,2003-10-02,Other,LD003,Head on collision,48,55,Minor Road,NORMAL,Y,13,Other,n/k,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38826,38826
29,2003-10-03,CNF,LD003,Head on collision,5,120,Minor Road,WET,N,15,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4774,4774
30,2003-10-05,CNF,LD003,Head on collision,1,96,Minor Road,WET,N,18,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2276,2276
31,2003-10-11,PH,LD003,Head on collision,0,58,Main Road,NORMAL,Y,13,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,2003-10-15,Other,LD003,Head on collision,145,33,Main Road,N/K,Y,0,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,876,876
33,2003-10-15,Other,LD003,Head on collision,1,5,Minor Road,NORMAL,N,18,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,109,109
34,2003-10-18,CNF,LD003,Head on collision,3,78,Main Road,NORMAL,N,12,Other,n/k,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,97,97
35,2003-10-21,PH,LD003,Head on collision,3,46,Minor Road,NORMAL,N,23,Other,n/k,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23289,23289
36,2003-10-21,CNF,LD003,Head on collision,1,41,Minor Road,WET,N,17,Other,n/k,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,185,185
37,2003-10-21,PH,LD003,Head on collision,0,103,Main Road,NORMAL,Y,9,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1977,1977
38,2003-10-22,Other,LD003,Head on collision,0,33,Minor Road,WET,Y,8,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,2003-10-25,Other,LD003,Head on collision,4,107,Minor Road,NORMAL,Y,12,Other,n/k,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,921,921
40,2003-10-26,PH,LD003,Head on collision,8,102,Minor Road,NORMAL,Y,9,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,2003-10-29,Other,LD003,Head on collision,1,89,Not Applicable,N/K,n/k,0,Other,n/k,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
